# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
410           	GAMG	7.218860e-02	7.096690e-03	2	true
411           	GAMG	7.153490e-02	7.043790e-03	2	true
412           	GAMG	7.086500e-02	6.998760e-03	2	true
413           	GAMG	7.013820e-02	6.914340e-03	2	true
414           	GAMG	6.946090e-02	6.822740e-03	2	true
415           	GAMG	6.891530e-02	6.754510e-03	2	true
416           	GAMG	6.838310e-02	6.691640e-03	2	true
417           	GAMG	6.786700e-02	6.642370e-03	2	true
418           	GAMG	6.728720e-02	6.568710e-03	2	true
419           	GAMG	6.676610e-02	6.515710e-03	2	true
420           	GAMG	6.625650e-02	6.466350e-03	2	true
421           	GAMG	6.577320e-02	6.425780e-03	2	true
422           	GAMG	6.526590e-02	6.368550e-03	2	true
423           	GAMG	6.479270e-02	6.326420e-03	2	true
424           	GAMG	6.432600e-02	6.279130e-03	2	true
425           	GAMG	6.391200e-02	6.246280e-03	2	true
426           	GAMG	6.355150e-02	6.220940e-03	2	true
427           	GAMG	6.323660e-02	6.195810e-03	2	true
428           	GAMG	6.295330e-02	6.167890e-03	2	true
429           	GAMG	6.267310e-02	6.144780e-03	2	true
430           	GAMG	6.237100e-02	6.110600e-03	2	true
431           	GAMG	6.211800e-02	6.086080e-03	2	true
432           	GAMG	6.186300e-02	6.064100e-03	2	true
433           	GAMG	6.161270e-02	6.044070e-03	2	true
434           	GAMG	6.133050e-02	6.027010e-03	2	true
435           	GAMG	6.103440e-02	6.009950e-03	2	true
436           	GAMG	6.073450e-02	6.008080e-03	2	true
437           	GAMG	6.041610e-02	5.974650e-03	2	true
438           	GAMG	6.014550e-02	5.963610e-03	2	true
439           	GAMG	5.986720e-02	5.954820e-03	2	true
440           	GAMG	5.959370e-02	2.624060e-03	3	true
441           	GAMG	5.823770e-02	5.560970e-03	2	true
442           	GAMG	5.808580e-02	5.547770e-03	2	true
443           	GAMG	5.818090e-02	5.610130e-03	2	true
444           	GAMG	5.838900e-02	5.711680e-03	2	true
445           	GAMG	5.856640e-02	5.818270e-03	2	true
446           	GAMG	5.866170e-02	2.599220e-03	3	true
447           	GAMG	5.753940e-02	5.590140e-03	2	true
448           	GAMG	5.744880e-02	5.606940e-03	2	true
449           	GAMG	5.747180e-02	5.671070e-03	2	true
450           	GAMG	5.753660e-02	2.528260e-03	3	true
451           	GAMG	5.657050e-02	5.480060e-03	2	true
452           	GAMG	5.660600e-02	5.536510e-03	2	true
453           	GAMG	5.676960e-02	5.639140e-03	2	true
454           	GAMG	5.694050e-02	2.519130e-03	3	true
455           	GAMG	5.601360e-02	5.492940e-03	2	true
456           	GAMG	5.606880e-02	5.546560e-03	2	true
457           	GAMG	5.619810e-02	2.463190e-03	3	true
458           	GAMG	5.529960e-02	5.385760e-03	2	true
459           	GAMG	5.538950e-02	5.457580e-03	2	true
460           	GAMG	5.559340e-02	2.432590e-03	3	true
461           	GAMG	5.482470e-02	5.352870e-03	2	true
462           	GAMG	5.501500e-02	5.444240e-03	2	true
463           	GAMG	5.530860e-02	2.432950e-03	3	true
464           	GAMG	5.459170e-02	5.351110e-03	2	true
465           	GAMG	5.480470e-02	5.436000e-03	2	true
466           	GAMG	5.510290e-02	2.482060e-03	3	true
467           	GAMG	5.482160e-02	5.350310e-03	2	true
468           	GAMG	5.500460e-02	5.418270e-03	2	true
469           	GAMG	5.525350e-02	5.520240e-03	2	true
470           	GAMG	5.545910e-02	2.530210e-03	3	true
471           	GAMG	5.511880e-02	5.398190e-03	2	true
472           	GAMG	5.513040e-02	5.428070e-03	2	true
473           	GAMG	5.527110e-02	5.494170e-03	2	true
474           	GAMG	5.541700e-02	2.422110e-03	3	true
475           	GAMG	5.455790e-02	5.298700e-03	2	true
476           	GAMG	5.461240e-02	5.331740e-03	2	true
477           	GAMG	5.480050e-02	5.405870e-03	2	true
478           	GAMG	5.499090e-02	5.490300e-03	2	true
479           	GAMG	5.510460e-02	2.410500e-03	3	true
480           	GAMG	5.407400e-02	5.263770e-03	2	true
481           	GAMG	5.400080e-02	5.265390e-03	2	true
482           	GAMG	5.404930e-02	5.307720e-03	2	true
483           	GAMG	5.410690e-02	5.366470e-03	2	true
484           	GAMG	5.410640e-02	2.399310e-03	3	true
