"Co","U:0","U:1","U:2","alpha.water","k","nut","omega","p","p_rgh","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","Points:0","Points:1","Points:2"
1.2479,0.16923,0.41872,-0.082491,0.99991,0.011734,4.1314e-05,274.24,494.12,886.88,0,0,0,0,0.02536,-1.6156e-27,0.040023
1.0176,0.20877,0.45225,-0.067233,0.99996,0.012357,4.9298e-05,237.53,489.62,878.78,0,0,0,0,0.027577,0,0.040044
1.2479,0.16923,0.41872,-0.082491,0.99991,0.011734,4.1314e-05,274.24,494.12,886.88,0,0,0,0,0.02536,0,0.040023
1.3016,0.17737,0.40056,-0.085177,0.99993,0.014586,4.8351e-05,271.98,482.35,887.53,0,0,0,0,0.025041,0,0.041281
1.1484,0.20371,0.47445,-0.064983,0.99997,0.010408,4.8089e-05,221.07,506.13,876.83,0,0,0,0,0.027734,0,0.037692
1.1484,0.20371,0.47445,-0.064983,0.99997,0.010408,4.8089e-05,221.07,506.13,876.83,0,0,0,0,0.027734,1.6156e-27,0.037692
0.9068,0.22619,0.45605,-0.06933,0.99998,0.012251,6.5056e-05,191.61,493.33,861.87,0,0,0,0,0.03008,0,0.037558
0.40965,0.28564,0.19794,-0.070346,0.99997,0.018473,9.5643e-05,189.26,442.02,835.26,0,0,0,0,0.035019,0,0.040058
0.46982,0.20028,0.36945,-0.096077,0.9999,0.01425,9.1509e-05,156.49,499.25,842.82,0,0,0,0,0.035028,0,0.035018
0.71254,0.18838,0.42992,-0.084168,0.99992,0.011675,6.7256e-05,180.46,517.67,861.34,0,0,0,0,0.030686,0,0.035031
0.71254,0.18838,0.42992,-0.084168,0.99992,0.011675,6.7256e-05,180.46,517.67,861.34,0,0,0,0,0.030686,1.6156e-27,0.035031
0.71254,0.18838,0.42992,-0.084168,0.99992,0.011675,6.7256e-05,180.46,517.67,861.34,0,0,0,0,0.030686,-1.6156e-27,0.035031
0.81472,0.1435,0.43289,-0.10823,0.99988,0.0096353,5.124e-05,203.17,548.99,867.91,0,0,0,0,0.030072,0,0.03251
0.71834,0.12747,0.39884,-0.12001,0.99987,0.0097353,5.5051e-05,195.06,560.54,866.66,0,0,0,0,0.030395,0,0.031208
0.67771,0.15668,0.40374,-0.10373,0.99989,0.010902,6.3618e-05,183.44,540.08,863.09,0,0,0,0,0.030689,0,0.032926
0.62938,0.11267,0.36741,-0.13088,0.99985,0.0098277,5.857e-05,187.58,571.19,865.51,0,0,0,0,0.030694,0,0.030005
0.40294,0.1025,0.3391,-0.11738,0.99987,0.012307,8.9562e-05,139.11,560.14,854.44,0,0,0,0,0.035032,0,0.030003
0.717,0.085941,0.32895,-0.1685,0.99982,0.0085263,4.5339e-05,211.47,594.46,864.19,0,0,0,0,0.030079,0,0.027501
0.5211,0.055293,0.25141,-0.17418,0.99989,0.0090776,5.8494e-05,176.82,615.57,860.66,0,0,0,0,0.030703,0,0.024992
