"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
9.3822,-0.00040739,-2.1464e-05,-0.0039176,0,0,0,3.4304e-05,4.9146e-05,0,1335.6,-0.010284,-0.0072324,3.372e-06,8.3908e-08,1.5786e-05,0.82061,0.061467,0.024993,0,0.074509
5.7908,-0.00056493,-2.4789e-05,-0.0027753,0,0,0,5.5618e-05,6.7168e-05,0,898.36,-0.010272,-0.006947,4.1453e-06,8.3006e-08,9.3216e-06,1.2236,0.061959,0.025,0,0.075
3.6189,-0.0004676,-2.1171e-05,-0.0012417,0,0,0,3.3265e-05,4.8864e-05,0,1335.7,-0.010266,-0.0073456,4.2604e-06,8.2975e-08,4.6827e-06,0.80524,0.06245,0.024993,8.2718e-25,0.075491
2.5643,-0.00027818,-1.5537e-05,-0.00018414,0,0,0,8.5209e-06,2.9473e-05,0,2703.4,-0.010263,-0.0078465,3.6539e-06,8.6315e-08,5.9256e-07,0.293,0.062948,0.024979,0,0.075989
3.4817,-0.00020666,-1.4607e-05,0.00091175,0,0,0,8.626e-06,3.0814e-05,0,3020.6,-0.010265,-0.0084368,3.1873e-06,8.8224e-08,-5.3377e-06,0.26682,0.063459,0.024954,0,0.076499
5.6553,-0.00033129,-1.7066e-05,0.0022397,0,0,0,1.396e-05,3.6266e-05,0,2191.8,-0.010275,-0.0087899,3.6405e-06,8.8853e-08,-1.1367e-05,0.39274,0.063984,0.024917,0,0.077023
8.1981,-0.00058487,-1.8712e-05,0.0036299,0,0,0,1.8805e-05,4.0406e-05,0,1856.1,-0.01029,-0.0086298,4.8086e-06,8.9856e-08,-1.6975e-05,0.49423,0.064522,0.024869,0,0.077559
10.917,-0.000923,-1.9953e-05,0.0050939,0,0,0,2.3863e-05,4.4368e-05,0,1638,-0.010313,-0.0084462,6.2865e-06,9.0049e-08,-2.2393e-05,0.59271,0.065071,0.024806,0,0.078104
13.794,-0.0013523,-2.1071e-05,0.0066138,0,0,0,2.9981e-05,4.8912e-05,0,1446.8,-0.010342,-0.00842,7.9161e-06,8.937e-08,-2.7312e-05,0.7074,0.065624,0.024731,-2.068e-25,0.078652
16.679,-0.001847,-2.221e-05,0.0080663,0,0,0,3.795e-05,5.4103e-05,0,1259.8,-0.010375,-0.0086543,9.7324e-06,8.7854e-08,-3.1007e-05,0.85408,0.066175,0.024645,0,0.079196
