"Co","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","p","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
42.124,0,0,0,1.1251e-05,1.3391e-05,0,1219.2,-0.014254,6.2874e-05,1.5954e-05,4.3488e-06,0.48421,-0.01394,-0.016302,-0.0041577,-0.0027156,0.030549,0.0077293,0,0.011226
41.355,0,0,0,7.3788e-06,8.9655e-06,0,1973.9,-0.014084,6.1405e-05,1.696e-05,6.8064e-06,0.30812,-0.0138,-0.012692,-0.0034889,-0.0027375,0.031043,0.008197,0,0.011384
35.83,0,0,0,6.388e-06,7.8074e-06,0,1926,-0.014017,5.5658e-05,1.6618e-05,8.7934e-06,0.29104,-0.013744,-0.011505,-0.0034713,-0.0027989,0.031314,0.0084522,0,0.011475
31.221,0,0,0,5.5327e-06,6.7772e-06,0,1887.6,-0.013948,5.0783e-05,1.6056e-05,1.0343e-05,0.27584,-0.013687,-0.010501,-0.0033959,-0.0028405,0.031531,0.0086568,0,0.011548
27.932,0,0,0,6.2574e-06,7.6274e-06,0,1110.2,-0.0139,3.9388e-05,1.4165e-05,9.3031e-06,0.37452,-0.013645,-0.010596,-0.0038334,-0.0030353,0.032014,0.0091084,0,0.01172
30.571,0,0,0,5.8402e-06,7.1975e-06,0,1115.6,-0.013893,3.7331e-05,1.3746e-05,1.1376e-05,0.36193,-0.013637,-0.0103,-0.0037318,-0.0033959,0.032361,0.0094307,0,0.011849
31.513,0,0,0,5.6562e-06,6.9906e-06,0,1117.6,-0.013884,3.6467e-05,1.3486e-05,1.2174e-05,0.35639,-0.01363,-0.010167,-0.0036656,-0.0035348,0.032492,0.0095523,0,0.011897
32.096,0,0,0,3.9471e-06,4.8581e-06,0,1691.5,-0.013865,3.6806e-05,1.3254e-05,1.3378e-05,0.24165,-0.013616,-0.0082717,-0.0029393,-0.003244,0.032965,0.0099875,0,0.012083
30.901,0,0,0,4.0283e-06,4.8675e-06,0,1650.8,-0.01386,3.6395e-05,1.2959e-05,1.3263e-05,0.24967,-0.013614,-0.0083053,-0.0029187,-0.0033081,0.033092,0.010103,0,0.012135
27.594,0,0,0,4.2279e-06,4.8532e-06,0,1540.3,-0.013835,3.5125e-05,1.1912e-05,1.3126e-05,0.27077,-0.013596,-0.0083661,-0.0028052,-0.0035057,0.033434,0.010416,0,0.012275
31.205,0,0,0,5.1108e-06,5.514e-06,0,1256.1,-0.013809,3.4449e-05,1.1633e-05,1.9747e-05,0.3163,-0.013572,-0.0093087,-0.0029623,-0.0047186,0.033899,0.010837,0,0.012472
34.262,0,0,0,4.6673e-06,4.7763e-06,0,1771.2,-0.013804,3.6645e-05,1.1572e-05,2.2639e-05,0.25493,-0.013569,-0.0082525,-0.0024972,-0.0045796,0.034361,0.011251,4.1359e-25,0.012675
33.859,0,0,0,6.4037e-06,6.3825e-06,0,1556,-0.013804,3.9891e-05,1.0819e-05,2.4249e-05,0.33375,-0.013569,-0.0097351,-0.0025538,-0.0056434,0.03482,0.011658,0,0.012886
39.955,0,0,0,8.3281e-06,8.273e-06,0,1221.2,-0.013774,4.4064e-05,1.1099e-05,2.9872e-05,0.40849,-0.013537,-0.011729,-0.0028549,-0.0071319,0.035275,0.012059,0,0.013103
43.551,0,0,0,7.7262e-06,7.722e-06,0,1673.1,-0.013752,4.7522e-05,1.1462e-05,3.0249e-05,0.33691,-0.013515,-0.010687,-0.002535,-0.0064634,0.035727,0.012453,0,0.013325
