"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
21.916,-0.0070262,-4.5137e-05,-0.0031013,2.2426e-06,0,1794.5,-0.010224,3.333e-05,2.1226e-07,1.2035e-05,0.17384,0.025385,0.011555,0,0.0048326
21.149,-0.0058205,-3.6738e-05,-0.0027494,1.7929e-06,0,2265.3,-0.010211,3.0265e-05,1.9408e-07,1.3211e-05,0.13911,0.025841,0.011957,0,0.0050467
18.973,-0.0060277,-3.2718e-05,-0.0032969,2.2474e-06,0,1898.8,-0.01021,2.74e-05,1.5813e-07,1.3605e-05,0.18051,0.026294,0.012354,0,0.0052664
22.066,-0.0069704,-2.3654e-05,-0.0044463,3.0272e-06,0,1495,-0.010198,2.7792e-05,1.0027e-07,1.9704e-05,0.22476,0.026674,0.012682,0,0.0054575
22.651,-0.0071488,-2.1938e-05,-0.0046639,3.1748e-06,0,1418.6,-0.010196,2.7866e-05,8.9319e-08,2.0858e-05,0.23314,0.026746,0.012745,0,0.0054937
23.284,-0.0070759,-2.0333e-05,-0.0046634,3.198e-06,0,1493.6,-0.010196,2.8262e-05,8.4107e-08,2.1364e-05,0.22899,0.026817,0.012805,0,0.0055305
26.674,-0.0066851,-1.1733e-05,-0.0046606,3.3219e-06,0,1895.7,-0.010193,3.0381e-05,5.6178e-08,2.4077e-05,0.20675,0.027197,0.01313,0,0.0057276
28.06,-0.0081493,-1.1498e-07,-0.0059425,5.4839e-06,0,1593.4,-0.010188,3.2788e-05,8.281e-09,2.5852e-05,0.30868,0.027646,0.01351,0,0.0059668
33.209,-0.010222,2.2791e-05,-0.0079587,8.5371e-06,0,1147.9,-0.010164,3.5882e-05,-9.0404e-08,3.3024e-05,0.42295,0.028094,0.013885,0,0.0062109
38.065,-0.010442,3.2409e-05,-0.0081175,8.8443e-06,0,1436,-0.010161,4.2786e-05,-1.3766e-07,3.5886e-05,0.38675,0.02854,0.014253,0,0.0064628
40.765,-0.010912,4.1193e-05,-0.0084707,1.0012e-05,0,1689.9,-0.010137,4.9019e-05,-1.9166e-07,4.0286e-05,0.37525,0.028984,0.014616,0,0.00672
43.465,-0.010863,5.1639e-05,-0.0085698,1.1761e-05,0,1971.2,-0.010093,5.2545e-05,-2.5543e-07,4.4122e-05,0.37975,0.029427,0.014973,0,0.0069815
40.432,-0.012302,7.7205e-05,-0.0093416,1.8196e-05,0,1539.6,-0.010053,5.273e-05,-3.0363e-07,3.8629e-05,0.58101,0.029868,0.015325,0,0.007248
41.591,-0.013486,0.00011524,-0.0092474,2.9265e-05,0,1018.2,-0.0099883,5.1671e-05,-4.0389e-07,3.1197e-05,0.82894,0.030308,0.015669,0,0.0075214
37.716,-0.01145,0.00011906,-0.00695,2.5051e-05,0,1183.4,-0.0099443,4.9635e-05,-4.4486e-07,2.1754e-05,0.70734,0.030746,0.016007,0,0.0077991
29.933,-0.0094543,0.00012376,-0.0046579,2.0166e-05,0,1287,-0.0099067,4.5084e-05,-4.824e-07,1.2425e-05,0.61029,0.031182,0.016341,0,0.0080807
20.704,-0.0068116,0.00012788,-0.0019431,1.8354e-05,0,1343.7,-0.0098863,3.574e-05,-5.0682e-07,-2.793e-07,0.56683,0.031618,0.016668,0,0.0083689
13.785,-0.0040977,0.00012658,0.00041731,1.4636e-05,0,1372.6,-0.0098922,2.534e-05,-5.0627e-07,-1.007e-05,0.50372,0.031958,0.016919,0,0.0085982
11.866,-0.003345,0.00012622,0.001072,1.3604e-05,0,1380.6,-0.0098938,2.2456e-05,-5.0612e-07,-1.2785e-05,0.48622,0.032053,0.016989,-1.034e-25,0.0086618
13.085,-0.0026396,0.0001284,0.0019334,1.3858e-05,0,1386.1,-0.0099037,1.9651e-05,-5.1591e-07,-1.6638e-05,0.4898,0.032172,0.017076,0,0.0087433
16.311,-0.0007736,0.00013415,0.004212,1.4529e-05,0,1400.8,-0.00993,1.2232e-05,-5.4183e-07,-2.6828e-05,0.49927,0.032487,0.017306,0,0.0089589
