"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
73.563,0.01724,-0.017281,0.00040228,0,0,0,2.6993e-05,2.7072e-05,0,1399,0.011285,0.011304,-7.2679e-05,7.1348e-05,-1.545e-06,0.67979,0.024749,0.023,-0.05825,0.025
73.56,0.017248,-0.017279,0.00041631,0,0,0,2.6971e-05,2.7063e-05,0,1395.1,0.01129,0.011309,-7.2644e-05,7.1308e-05,-1.6065e-06,0.68038,0.025191,0.022688,-0.057937,0.025
73.589,0.01725,-0.017236,0.00043808,0,0,0,2.692e-05,2.7019e-05,0,1391.3,0.011295,0.011313,-7.2616e-05,7.0935e-05,-1.7144e-06,0.68077,0.025633,0.022375,-0.057625,0.025
73.237,0.01716,-0.017154,0.00045041,0,0,0,2.6719e-05,2.682e-05,0,1395,0.0113,0.011319,-7.2295e-05,7.0635e-05,-1.7626e-06,0.67717,0.026075,0.022063,-0.057312,0.025
72.856,0.017062,-0.017093,0.00045894,0,0,0,2.6554e-05,2.6663e-05,0,1398.8,0.011305,0.011323,-7.1951e-05,7.0546e-05,-1.7812e-06,0.6742,0.026517,0.02175,-0.057,0.025
72.849,0.01707,-0.017089,0.00047335,0,0,0,2.6528e-05,2.6651e-05,0,1395,0.011309,0.011328,-7.1913e-05,7.0501e-05,-1.8442e-06,0.67473,0.026958,0.021438,-0.056687,0.025
72.87,0.01707,-0.017045,0.00049535,0,0,0,2.6478e-05,2.6605e-05,0,1391.2,0.011314,0.011332,-7.1882e-05,7.0122e-05,-1.9523e-06,0.67512,0.0274,0.021125,-0.056375,0.025
72.511,0.016979,-0.01696,0.00050764,0,0,0,2.6273e-05,2.6402e-05,0,1395,0.011319,0.011338,-7.1558e-05,6.9814e-05,-2.0009e-06,0.67142,0.027842,0.020813,-0.056062,0.025
72.128,0.01688,-0.016897,0.00051647,0,0,0,2.6103e-05,2.624e-05,0,1398.8,0.011323,0.011342,-7.1209e-05,6.9714e-05,-2.0216e-06,0.66838,0.028284,0.0205,-0.05575,0.025
72.109,0.016885,-0.016891,0.00053171,0,0,0,2.6074e-05,2.6224e-05,0,1395,0.011327,0.011346,-7.1162e-05,6.9661e-05,-2.0876e-06,0.66885,0.028726,0.020188,-0.055437,0.025
72.124,0.016883,-0.016845,0.00055448,0,0,0,2.6014e-05,2.6173e-05,0,1391.1,0.011332,0.011351,-7.1123e-05,6.9273e-05,-2.1983e-06,0.66911,0.029168,0.019875,-0.055125,0.025
