# y+ ()       
# Time        	patch         	min           	max           	average       
32.5          	bottom	9.276418e-03	4.179288e+02	1.576300e+02
32.5          	frontAndBack	1.591614e-01	2.338343e+02	6.472902e+01
32.5          	obstacle	1.061685e-02	9.060041e+01	3.856525e+01
33            	bottom	1.673038e-02	4.176698e+02	1.576058e+02
33            	frontAndBack	1.592647e-01	2.327380e+02	6.474665e+01
33            	obstacle	1.914755e-02	9.072656e+01	3.857739e+01
33.5          	bottom	8.516513e-03	4.168983e+02	1.575930e+02
33.5          	frontAndBack	2.598552e-01	2.293702e+02	6.470273e+01
33.5          	obstacle	9.747039e-03	9.064974e+01	3.852838e+01
34            	bottom	2.010026e-03	4.157312e+02	1.576200e+02
34            	frontAndBack	2.408736e-01	2.193984e+02	6.469038e+01
34            	obstacle	2.300457e-03	9.024542e+01	3.851534e+01
34.5          	bottom	4.280571e-02	4.172315e+02	1.575615e+02
34.5          	frontAndBack	3.155160e-01	2.331252e+02	6.467018e+01
34.5          	obstacle	4.899156e-02	9.028706e+01	3.855374e+01
35            	bottom	1.886894e-02	4.159615e+02	1.575908e+02
35            	frontAndBack	1.211976e-01	2.336815e+02	6.466656e+01
35            	obstacle	2.159564e-02	9.055110e+01	3.856002e+01
35.5          	bottom	2.279080e-02	4.162450e+02	1.576513e+02
35.5          	frontAndBack	2.696101e-01	2.266869e+02	6.463657e+01
35.5          	obstacle	2.608373e-02	9.068882e+01	3.858693e+01
36            	bottom	2.143510e-02	4.170982e+02	1.576847e+02
36            	frontAndBack	2.355708e-01	2.297674e+02	6.463743e+01
36            	obstacle	2.453268e-02	9.033029e+01	3.856700e+01
36.5          	bottom	3.586609e-02	4.161759e+02	1.577021e+02
36.5          	frontAndBack	2.278713e-01	2.328538e+02	6.466732e+01
36.5          	obstacle	4.104910e-02	9.031530e+01	3.855423e+01
37            	bottom	3.681930e-02	4.152787e+02	1.577046e+02
37            	frontAndBack	2.795663e-01	2.293315e+02	6.463029e+01
37            	obstacle	4.213969e-02	9.075943e+01	3.861383e+01
37.5          	bottom	4.841443e-03	4.142450e+02	1.578435e+02
37.5          	frontAndBack	2.585440e-01	2.258552e+02	6.467258e+01
37.5          	obstacle	5.540933e-03	9.082835e+01	3.865052e+01
38            	bottom	2.065427e-02	4.152423e+02	1.580080e+02
38            	frontAndBack	1.871664e-01	2.281699e+02	6.467039e+01
38            	obstacle	2.363837e-02	9.063883e+01	3.862698e+01
38.5          	bottom	6.706960e-03	4.163815e+02	1.581379e+02
38.5          	frontAndBack	2.031059e-01	2.320873e+02	6.466810e+01
38.5          	obstacle	7.675974e-03	9.054957e+01	3.859239e+01
39            	bottom	3.375529e-02	4.175782e+02	1.581978e+02
39            	frontAndBack	1.915065e-01	2.258184e+02	6.468480e+01
39            	obstacle	3.863260e-02	9.057317e+01	3.855820e+01
39.5          	bottom	2.565632e-02	4.183965e+02	1.581480e+02
39.5          	frontAndBack	1.965201e-01	2.241999e+02	6.469851e+01
39.5          	obstacle	2.936340e-02	9.036542e+01	3.850959e+01
40            	bottom	1.118683e-02	4.172745e+02	1.580814e+02
40            	frontAndBack	1.753006e-01	2.361438e+02	6.470853e+01
40            	obstacle	1.280337e-02	9.005843e+01	3.845604e+01
40.5          	bottom	5.739566e-02	4.165386e+02	1.580428e+02
40.5          	frontAndBack	2.874600e-01	2.294520e+02	6.472801e+01
40.5          	obstacle	6.568876e-02	9.005916e+01	3.841315e+01
41            	bottom	3.641034e-02	4.165839e+02	1.579536e+02
41            	frontAndBack	2.163607e-01	2.328109e+02	6.476487e+01
41            	obstacle	4.167189e-02	8.964349e+01	3.838090e+01
41.5          	bottom	2.459028e-02	4.156583e+02	1.578828e+02
41.5          	frontAndBack	2.099263e-01	2.275653e+02	6.473780e+01
41.5          	obstacle	2.814321e-02	8.927951e+01	3.838409e+01
42            	bottom	2.997935e-02	4.151334e+02	1.578494e+02
42            	frontAndBack	2.638064e-01	2.267199e+02	6.473706e+01
42            	obstacle	3.431135e-02	8.944152e+01	3.832204e+01
42.5          	bottom	2.235047e-02	4.149019e+02	1.577994e+02
42.5          	frontAndBack	2.427669e-01	2.326082e+02	6.475683e+01
42.5          	obstacle	2.557965e-02	8.992109e+01	3.838661e+01
43            	bottom	1.689880e-02	4.156079e+02	1.578143e+02
43            	frontAndBack	2.142350e-01	2.279833e+02	6.476119e+01
43            	obstacle	1.934067e-02	9.009614e+01	3.847767e+01
43.5          	bottom	2.962639e-02	4.159559e+02	1.578511e+02
43.5          	frontAndBack	2.310447e-01	2.270139e+02	6.477236e+01
43.5          	obstacle	3.390677e-02	9.003734e+01	3.846628e+01
44            	bottom	1.378071e-02	4.154050e+02	1.578845e+02
44            	frontAndBack	2.218418e-01	2.339268e+02	6.475121e+01
44            	obstacle	1.577220e-02	9.012035e+01	3.839105e+01
44.5          	bottom	3.417939e-02	4.163954e+02	1.577816e+02
44.5          	frontAndBack	2.228205e-01	2.306638e+02	6.477198e+01
44.5          	obstacle	3.911866e-02	9.031223e+01	3.847332e+01
45            	bottom	1.203710e-02	4.150750e+02	1.577585e+02
45            	frontAndBack	1.997008e-01	2.278496e+02	6.476217e+01
45            	obstacle	1.377628e-02	9.030438e+01	3.849318e+01
